path,ext,size,modified_utc,last_git_utc,decision,reasons
tools/py/ci/pre_push.py,.py,401,2025-08-27 23:24:03,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/ci/reply_lint_selected.py,.py,1124,2025-08-27 22:58:00,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/daily/daily_dev_loop.py,.py,5109,2025-08-28 08:44:40,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/dev/verify_core_import.py,.py,264,2025-09-03 20:24:30,2025-09-03 20:55:41,archive,stale:46d>=45d
tools/py/inventory/report_headers.py,.py,3553,2025-08-27 21:35:57,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/inventory/report_index.py,.py,2219,2025-08-27 21:35:44,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/leb/leb_ensure.py,.py,136,2025-08-31 17:13:45,2025-08-31 18:09:49,archive,stale:49d>=45d
tools/py/leb/leb_runner.py,.py,136,2025-08-31 17:13:45,2025-08-31 18:09:49,archive,stale:49d>=45d
tools/py/leb/leb_verify.py,.py,136,2025-08-31 17:13:45,2025-08-31 18:09:49,archive,stale:49d>=45d
tools/py/lint/find_bad_escapes.py,.py,2899,2025-08-27 21:39:52,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/lint/reply_lint.py,.py,2969,2025-08-27 22:01:34,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/maintenance/tmp_prune.py,.py,1557,2025-09-03 20:04:43,2025-09-03 20:55:41,archive,pattern:(^|/)tmp_.*\.(py|ps1)$;stale:46d>=45d
tools/py/mvp_smoke.py,.py,1999,2025-08-28 08:16:23,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/net/port_kill.py,.py,2279,2025-08-28 10:35:20,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/net/port_probe.py,.py,1417,2025-08-28 10:07:32,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/pa_agent_bringup.py,.py,5893,2025-08-28 10:42:36,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/pa_bootstrap.py,.py,1439,2025-08-27 12:20:44,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/pa_diag_runner.py,.py,5818,2025-08-26 23:44:56,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/pa_project_snapshot.py,.py,12073,2025-08-27 22:08:49,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/pa_std_summary.py,.py,2418,2025-08-27 19:31:18,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/pack/enrich_pack.py,.py,5735,2025-08-27 23:18:36,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/pack/verify_pack.py,.py,2258,2025-08-27 22:08:20,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/plan/build_plan_texts.py,.py,4525,2025-08-29 10:19:21,2025-08-29 17:59:37,archive,stale:51d>=45d
tools/py/plan/normalize_plan_yaml.py,.py,4118,2025-08-29 16:56:36,2025-08-29 17:59:37,archive,stale:51d>=45d
tools/py/plan_step_add.py,.py,9565,2025-08-27 12:25:09,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/plan_step_update.py,.py,2000,2025-08-27 23:15:14,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/py/pwa/gui_diag.py,.py,8882,2025-08-29 08:29:44,2025-08-29 17:59:37,archive,stale:51d>=45d
tools/py/registry/add_tool.py,.py,3311,2025-08-28 13:33:42,2025-08-28 13:34:20,archive,stale:53d>=45d
